iata_code,icao_code,airport_name,city,country,country_code,latitude,longitude,timezone
ACA,MMAA,General Juan N. Alvarez International Airport,Acapulco,Mexico,MX,16.7571,-99.754,America/Mexico_City
AGU,MMAS,Lic. Jesus Teran Peredo International Airport,Aguascalientes,Mexico,MX,21.7056,-102.3178,America/Mexico_City
AKL,NZAA,Auckland Airport,Auckland,New Zealand,NZ,-37.0082,174.785,Pacific/Auckland
AMD,VAAH,Sardar Vallabhbhai Patel International Airport,Ahmedabad,India,IN,23.0772,72.6347,Asia/Kolkata
AMQ,WAPP,Pattimura International Airport,Ambon,Indonesia,ID,-3.71,128.0893,Asia/Jayapura
AOR,WMKA,Sultan Abdul Halim Airport,Alor Setar,Malaysia,MY,6.1897,100.3983,Asia/Kuala_Lumpur
ATQ,VIAR,Sri Guru Ram Dass Jee International Airport,Amritsar,India,IN,31.7096,74.7973,Asia/Kolkata
BDJ,WAOO,Syamsudin Noor International Airport,Banjarmasin,Indonesia,ID,-3.4424,114.7539,Asia/Makassar
BIK,WABB,Frans Kaisiepo International Airport,Biak,Indonesia,ID,-1.19,136.1082,Asia/Jayapura
BJX,MMLO,Del Bajio International Airport,Leon/Guanajuato,Mexico,MX,20.9935,-101.4808,America/Mexico_City
BKI,WBKK,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia,MY,5.9372,116.0509,Asia/Kuala_Lumpur
BKS,WIPL,Fatmawati Soekarno Airport,Bengkulu,Indonesia,ID,-3.8637,102.3391,Asia/Jakarta
BLR,VOBL,Kempegowda International Airport,Bangalore,India,IN,13.1979,77.7063,Asia/Kolkata
BOG,SKBO,El Dorado International Airport,Bogota,Colombia,CO,4.7016,-74.1469,America/Bogota
BPN,WALL,Sultan Aji Muhammad Sulaiman Airport,Balikpapan,Indonesia,ID,-1.2674,116.8927,Asia/Makassar
BTH,WIDD,Hang Nadim International Airport,Batam,Indonesia,ID,1.121,104.1188,Asia/Jakarta
BTJ,WITT,Sultan Iskandar Muda International Airport,Banda Aceh,Indonesia,ID,5.5236,95.4203,Asia/Jakarta
BTU,WBGB,Bintulu Airport,Bintulu,Malaysia,MY,3.1239,113.0194,Asia/Kuala_Lumpur
BWN,WBSB,Brunei International Airport,Bandar Seri Begawan,Brunei,BN,4.9442,114.9283,Asia/Brunei
CAN,ZGGG,Guangzhou Baiyun International Airport,Guangzhou,China,CN,23.3924,113.2988,Asia/Shanghai
CCJ,VOCL,Calicut International Airport,Kozhikode,India,IN,11.1367,75.9553,Asia/Kolkata
