flight_id,ArrivalTerminal,baggageID,boardGate,checkinTable,DepartureTerminal,flight_arr_actual_date,flight_arr_actual_full,flight_arr_actual_time,flight_arr_actual_UTC,flight_arr_estimated_date,flight_arr_estimated_full,flight_arr_estimated_time,flight_arr_estimated_UTC,flight_arr_scheduled_date,flight_arr_scheduled_full,flight_arr_scheduled_time,flight_arr_scheduled_UTC,flight_dep_actual_date,flight_dep_actual_full,flight_dep_actual_time,flight_dep_actual_UTC,flight_dep_estimated_date,flight_dep_estimated_full,flight_dep_estimated_time,flight_dep_estimated_UTC,flight_dep_scheduled_date,flight_dep_scheduled_full,flight_dep_scheduled_time,flight_dep_scheduled_UTC,flight_map_flag,flightArr,flightCarrier,flightDate,flightDep,flightNumber,flightStatus,flightTDOWN_date,flightTDOWN_full,flightTDOWN_time,flightTDOWN_UTC,flightTKOFF_date,flightTKOFF_full,flightTKOFF_time,flightTKOFF_UTC,lastUpdatedCache,prev_arrivalstation,prev_ata,prev_atd,prev_carrierCode,prev_departurestation,prev_eta,prev_etd,prev_flightnumber,prev_legcode,prev_sta,prev_std,recordLocator,rego,utcFlightArrival,utcFlightDepart
AK889_2026-04-08_DMK_KUL,2,5,12,4,1,2025-06-03,2025-06-03 23:00:00,11:00 PM,2025-06-03 15:00:00,null,null,null,null,2025-06-03,2025-06-03 23:00:00,11:00 PM,2025-06-03 15:00:00,2025-06-03,2025-06-03 19:47:00,7:47 PM,2025-06-03 12:47:00,null,null,null,null,2025-06-03,2025-06-03 19:50:00,7:50 PM,2025-06-03 12:50:00,False,KUL,AK,2025-06-03,DMK,"""AK 889  """,Landed,null,null,null,null,null,null,null,null,2025-06-03 16:31:09,DMK,2025-06-03T12:17:00,2025-06-03T10:02:00,AK,KUL,2025-06-03T12:19:00,null,"""888  ""","""  """,2025-06-03T12:20:00,2025-06-03T10:00:00,null,9M-AJG,2025-06-03 03:00:00,2025-06-03 12:50:00
AK516_2025-12-27_KUL_HAN,2,8,P13,"""U,V,W,X,Y""",2,2025-06-02,2025-06-02 08:16:00,8:16 AM,2025-06-02 01:16:00,null,null,null,null,2025-06-02,2025-06-02 08:15:00,8:15 AM,2025-06-02 01:15:00,2025-06-02,2025-06-02 06:05:00,6:05 AM,2025-06-01 22:05:00,null,null,null,null,2025-06-02,2025-06-02 06:05:00,6:05 AM,2025-06-01 22:05:00,False,HAN,AK,2025-06-01,KUL,"""AK 516  """,Landed,null,null,null,null,null,null,null,null,2025-06-02 01:31:10,"""   """,null,null,"""  ""","""   """,null,null,"""     ""","""  """,null,null,null,9M-AHL,2025-06-02 01:15:00,2025-06-01 22:05:00
AK886_2025-01-22_KUL_DMK,1,6,L7,"""U,V,W,X,Y""",2,2025-06-03,2025-06-03 17:21:00,5:21 PM,2025-06-03 10:21:00,null,null,null,null,2025-06-03,2025-06-03 17:15:00,5:15 PM,2025-06-03 10:15:00,2025-06-03,2025-06-03 16:19:00,4:19 PM,2025-06-03 08:19:00,null,null,null,null,2025-06-03,2025-06-03 16:05:00,4:05 PM,2025-06-03 08:05:00,False,DMK,AK,2025-06-03,KUL,"""AK 886  """,Landed,null,null,null,null,null,null,null,null,2025-06-03 11:21:12,KUL,2025-06-03T07:41:00,2025-06-03T03:45:00,AK,SZX,2025-06-03T07:46:00,null,"""127  ""","""  """,2025-06-03T07:35:00,2025-06-03T03:25:00,null,9M-AGQ,2025-06-03 10:15:00,2025-06-03 08:05:00
AK4103_2025-01-03,1,,6,,""" """,2025-06-01,2025-06-01 22:50:00,10:50 PM,2025-06-01 14:50:00,null,null,null,null,2025-06-01,2025-06-01 23:00:00,11:00 PM,2025-06-01 15:00:00,2025-06-01,2025-06-01 20:12:00,8:12 PM,2025-06-01 12:12:00,null,null,null,null,2025-06-01,2025-06-01 20:30:00,8:30 PM,2025-06-01 12:30:00,False,BKI,AK,2025-06-01,SZB,"""AK 4103 """,Landed,null,null,null,null,null,null,null,null,2025-06-01 15:01:12,SZB,2025-06-01T11:10:00,2025-06-01T09:29:00,AK,KCH,2025-06-01T11:25:00,null,"""4236 ""","""  """,2025-06-01T11:30:00,2025-06-01T09:40:00,null,9M-RAA,2025-06-01 03:00:00,2025-06-01 12:30:00
AK6180_2025-04-19_KCH_MYY,""" """,,,,""" """,2025-06-02,2025-06-02 07:34:00,7:34 AM,2025-06-01 23:34:00,null,null,null,null,2025-06-02,2025-06-02 08:01:00,8:01 AM,2025-06-02 00:01:00,2025-06-02,2025-06-02 06:38:00,6:38 AM,2025-06-01 22:38:00,null,null,null,null,2025-06-02,2025-06-02 07:00:00,7:00 AM,2025-06-01 23:00:00,False,MYY,AK,2025-06-01,KCH,"""AK 6180 """,Landed,null,null,null,null,null,null,null,null,2025-06-01 23:51:12,"""   """,null,null,"""  ""","""   """,null,null,"""     ""","""  """,null,null,null,9M-AQF,2025-06-02 12:01:00,2025-06-01 23:00:00
AK881_2025-05-10_DMK_KUL,2,7,23,4,1,2025-06-01,2025-06-01 13:19:00,1:19 PM,2025-06-01 05:19:00,null,null,null,null,2025-06-01,2025-06-01 13:20:00,1:20 PM,2025-06-01 05:20:00,2025-06-01,2025-06-01 09:59:00,9:59 AM,2025-06-01 02:59:00,null,null,null,null,2025-06-01,2025-06-01 10:05:00,10:05 AM,2025-06-01 03:05:00,False,KUL,AK,2025-06-01,DMK,"""AK 881  """,Landed,null,null,null,null,null,null,null,null,2025-06-01 05:41:21,DMK,2025-06-01T02:26:00,2025-06-01T00:12:00,AK,KUL,2025-06-01T02:28:00,null,"""880  ""","""  """,2025-06-01T02:30:00,2025-06-01T00:20:00,null,9M-AGS,2025-06-01 05:20:00,2025-06-01 03:05:00
AK5648_2026-02-14_KUL_MYY,""" """,,K8,"""S,T""",2,2025-06-02,2025-06-02 23:43:00,11:43 PM,2025-06-02 15:43:00,null,null,null,null,2025-06-02,2025-06-02 22:10:00,10:10 PM,2025-06-02 14:10:00,2025-06-02,2025-06-02 21:25:00,9:25 PM,2025-06-02 13:25:00,null,null,null,null,2025-06-02,2025-06-02 19:50:00,7:50 PM,2025-06-02 11:50:00,False,MYY,AK,2025-06-02,KUL,"""AK 5648 """,LANDED,null,null,null,null,null,null,null,null,2025-06-02 16:51:12,KUL,2025-06-02T12:45:00,2025-06-02T10:34:00,AK,SGN,2025-06-02T12:35:00,2025-06-02T10:05:00,"""523  ""","""  """,2025-06-02T11:10:00,2025-06-02T09:10:00,null,9M-AFE,2025-06-02 02:10:00,2025-06-02 11:50:00
AK6119_2025-02-18_PEN_KUL,2,3,A1A,24-36,""" """,2025-06-01,2025-06-01 12:00:00,12:00 PM,2025-06-01 04:00:00,null,null,null,null,2025-06-01,2025-06-01 12:00:00,12:00 PM,2025-06-01 04:00:00,2025-06-01,2025-06-01 11:03:00,11:03 AM,2025-06-01 03:03:00,null,null,null,null,2025-06-01,2025-06-01 11:00:00,11:00 AM,2025-06-01 03:00:00,False,KUL,AK,2025-06-01,PEN,"""AK 6119 """,Landed,null,null,null,null,null,null,null,null,2025-06-01 04:51:14,PEN,2025-06-01T02:28:00,2025-06-01T01:30:00,AK,KUL,2025-06-01T02:24:00,null,"""6118 ""","""  """,2025-06-01T02:25:00,2025-06-01T01:30:00,null,9M-AJN,2025-06-01 04:00:00,2025-06-01 03:00:00
AK123_2024-12-09,,10,304,E,,2025-06-02,2025-06-02 02:31:00,2:31 AM,2025-06-01 18:31:00,null,null,null,null,2025-06-02,2025-06-02 01:55:00,1:55 AM,2025-06-01 17:55:00,2025-06-01,2025-06-01 22:21:00,10:21 PM,2025-06-01 14:21:00,null,null,null,null,2025-06-01,2025-06-01 21:50:00,9:50 PM,2025-06-01 13:50:00,False,KUL,AK,2025-06-01,SZX,"""AK 123  """,Landed,null,null,null,null,null,null,null,null,2025-06-01 18:41:12,SZX,2025-06-01T13:31:00,2025-06-01T09:00:00,AK,KUL,2025-06-01T13:24:00,2025-06-01T08:45:00,"""122  ""","""  """,2025-06-01T12:45:00,2025-06-01T08:30:00,null,9M-AGC,2025-06-01 05:55:00,2025-06-01 13:50:00
AK887_2026-01-08_DMK_KUL,2,6,23,4,1,2025-06-03,2025-06-03 20:12:00,8:12 PM,2025-06-03 12:12:00,null,null,null,null,2025-06-03,2025-06-03 20:05:00,8:05 PM,2025-06-03 12:05:00,2025-06-03,2025-06-03 16:54:00,4:54 PM,2025-06-03 09:54:00,null,null,null,null,2025-06-03,2025-06-03 16:50:00,4:50 PM,2025-06-03 09:50:00,False,KUL,AK,2025-06-03,DMK,"""AK 887  """,Landed,null,null,null,null,null,null,null,null,2025-06-03 12:41:12,DMK,2025-06-03T09:15:00,2025-06-03T06:47:00,AK,KUL,2025-06-03T08:56:00,null,"""886  ""","""  """,2025-06-03T09:20:00,2025-06-03T07:00:00,null,9M-RAJ,2025-06-03 12:05:00,2025-06-03 09:50:00
