flight_id,aircraftAge,aircraftType,airlineCode,airlineName,airlinePhone,arrivalAirportHelpline,arrivalDeviation,boardingStatus,delay,departureAirportHelpline,departureDeviation,destAirport,distance,duration,durationStr,flightNumber,flightUniqueId,isArrivalDelayed,isDepartureDelayed,nextDayCount,onTimeAccuracy,originAirport,providerStatus,status,statusMap,technicalStop,terminalInfo,timings
675_2025-06-04_BPN_UPG,,B739,JT,Lion Airlines,'+62 21 63798000,'+62 411 550123,"{""deviatedTime"":{""S"":""20:52""},""deviationType"":{""S"":""Early""},""colorCode"":{""S"":""#2B9950""},""deviationText"":{""S"":""8m Early""},""deviationTime"":{""N"":""1749041520000""},""deviatedDate"":{""S"":""Mon, 04 Jun""},""colorEnum"":{""S"":""SUCCESS""},""status"":{""S"":""Arrived""}}",,,'+62 542 7577000,"{""deviatedTime"":{""S"":""19:57""},""deviationType"":{""S"":""Delay""},""colorCode"":{""S"":""#DC3532""},""deviationText"":{""S"":""7m Delay""},""deviationTime"":{""N"":""1749038220000""},""deviatedDate"":{""S"":""Mon, 04 Jun""},""colorEnum"":{""S"":""CRITICAL""},""status"":{""S"":""Departed""}}","{""code"":{""S"":""UPG""},""cityName"":{""S"":""Ujung Pandang""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-5.077019""},""name"":{""S"":""Sultan Hasanuddin International Airport""},""timeZone"":{""S"":""Asia/Makassar""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""119.547738""}}",513,4200000,1h 10m,675,JT675BPNUPG04062025,,,0,23.33%,"{""code"":{""S"":""BPN""},""cityName"":{""S"":""Balikpapan""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-1.26738""},""name"":{""S"":""Sepingan""},""timeZone"":{""S"":""Asia/Makassar""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""116.89272""}}",arrival,,"{""colorCode"":{""S"":""#2B9950""},""code"":{""S"":""S""},""state"":{""S"":""schedule""},""status"":{""S"":""Scheduled""},""colorCodeEnum"":{""S"":""SUCCESS""}}",,"{""departureTerminal"":{""S"":""D""},""checkinCounter"":{""S"":""D10-D12""},""departureGate"":{""S"":""G9""},""baggage"":{""S"":""10""},""arrivalTerminal"":{""S"":""D""}}","{""scheduledArrivalDate"":{""S"":""Mon, 04 Jun""},""scheduledArrTime"":{""N"":""1749042000000""},""actualArrTime"":{""N"":""1749041520000""},""scheduledDepartureDate"":{""S"":""Mon, 04 Jun""},""actualDepTime"":{""N"":""1749038220000""},""scheduledDepTime"":{""N"":""1749037800000""},""estimatedDepTime"":{""N"":""1749037800000""},""scheduledDepartureTime"":{""S"":""19:50""},""scheduledArrivalTime"":{""S"":""21:00""},""estimatedArrTime"":{""N"":""1749041520000""}}"
888_2025-06-07_UPG_AMQ,,B738,JT,Lion Airlines,'+62 21 63798000,,"{""deviatedTime"":{""S"":""08:50""},""deviationType"":{""S"":""Early""},""colorCode"":{""S"":""#2B9950""},""deviationText"":{""S"":""10m Early""},""deviationTime"":{""N"":""1749340200000""},""deviatedDate"":{""S"":""Fri, 08 Jun""},""colorEnum"":{""S"":""SUCCESS""},""status"":{""S"":""Arrived""}}",,,'+62 411 550123,"{""deviatedTime"":{""S"":""06:27""},""deviationType"":{""S"":""Delay""},""colorCode"":{""S"":""#DC3532""},""deviationText"":{""S"":""12m Delay""},""deviationTime"":{""N"":""1749335220000""},""deviatedDate"":{""S"":""Fri, 08 Jun""},""colorEnum"":{""S"":""CRITICAL""},""status"":{""S"":""Departed""}}","{""code"":{""S"":""AMQ""},""cityName"":{""S"":""Ambon""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-3.69469168161893""},""name"":{""S"":""Pattimura""},""timeZone"":{""S"":""Asia/Jayapura""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""128.09878284668""}}",956,5640000,1h 34m,888,JT888UPGAMQ07062025,,,0,93.33%,"{""code"":{""S"":""UPG""},""cityName"":{""S"":""Ujung Pandang""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-5.077019""},""name"":{""S"":""Sultan Hasanuddin International Airport""},""timeZone"":{""S"":""Asia/Makassar""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""119.547738""}}",arrival,,"{""colorCode"":{""S"":""#2B9950""},""code"":{""S"":""S""},""state"":{""S"":""schedule""},""status"":{""S"":""Scheduled""},""colorCodeEnum"":{""S"":""SUCCESS""}}",,"{""departureTerminal"":{""S"":""D""},""checkinCounter"":{""S"":""D10-D12""},""departureGate"":{""S"":""4""},""baggage"":{""S"":""1""},""arrivalTerminal"":{""S"":""T1""}}","{""scheduledArrivalDate"":{""S"":""Fri, 08 Jun""},""scheduledArrTime"":{""N"":""1749340800000""},""actualArrTime"":{""N"":""1749340200000""},""scheduledDepartureDate"":{""S"":""Fri, 08 Jun""},""actualDepTime"":{""N"":""1749335220000""},""scheduledDepTime"":{""N"":""1749334500000""},""estimatedDepTime"":{""N"":""1749335100000""},""scheduledDepartureTime"":{""S"":""06:15""},""scheduledArrivalTime"":{""S"":""09:00""},""estimatedArrTime"":{""N"":""1749340260000""}}"
796_2025-06-04_SOQ_DJJ,,B739,JT,Lion Airlines,'+62 21 63798000,,"{""deviatedTime"":{""S"":""12:36""},""deviationType"":{""S"":""Delay""},""colorCode"":{""S"":""#DC3532""},""deviationText"":{""S"":""31m Delay""},""deviationTime"":{""N"":""1749008160000""},""deviatedDate"":{""S"":""Mon, 04 Jun""},""colorEnum"":{""S"":""CRITICAL""},""status"":{""S"":""Arrived""}}",,,,"{""deviatedTime"":{""S"":""10:57""},""deviationType"":{""S"":""Delay""},""colorCode"":{""S"":""#DC3532""},""deviationText"":{""S"":""47m Delay""},""deviationTime"":{""N"":""1749002220000""},""deviatedDate"":{""S"":""Mon, 04 Jun""},""colorEnum"":{""S"":""CRITICAL""},""status"":{""S"":""Departed""}}","{""code"":{""S"":""DJJ""},""cityName"":{""S"":""Jayapura""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-2.5743301""},""name"":{""S"":""Sentani""},""timeZone"":{""S"":""Asia/Jayapura""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""140.51389""}}",1057,6900000,1h 55m,796,JT796SOQDJJ04062025,,,0,86.67%,"{""code"":{""S"":""SOQ""},""cityName"":{""S"":""Sorong""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-0.8902140259742737""},""name"":{""S"":""Jefman""},""timeZone"":{""S"":""Asia/Jayapura""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""131.29058837890625""}}",arrival,,"{""colorCode"":{""S"":""#2B9950""},""code"":{""S"":""S""},""state"":{""S"":""schedule""},""status"":{""S"":""Scheduled""},""colorCodeEnum"":{""S"":""SUCCESS""}}",,"{""departureTerminal"":{""S"":""MAIN""},""checkinCounter"":{""S"":""01-08""},""departureGate"":{""S"":""""},""baggage"":{""S"":""""},""arrivalTerminal"":{""S"":""MAIN""}}","{""scheduledArrivalDate"":{""S"":""Mon, 04 Jun""},""scheduledArrTime"":{""N"":""1749006300000""},""actualArrTime"":{""N"":""1749008160000""},""scheduledDepartureDate"":{""S"":""Mon, 04 Jun""},""actualDepTime"":{""N"":""1749002220000""},""scheduledDepTime"":{""N"":""1748999400000""},""estimatedDepTime"":{""N"":""1748999400000""},""scheduledDepartureTime"":{""S"":""10:10""},""scheduledArrivalTime"":{""S"":""12:05""},""estimatedArrTime"":{""N"":""1749008160000""}}"
270_2025-06-04_DPS_KOE,,B739,JT,Lion Airlines,'+62 8041778899,'+62 380 882031,"{""deviatedTime"":{""S"":""11:46""},""deviationType"":{""S"":""Early""},""colorCode"":{""S"":""#2B9950""},""deviationText"":{""S"":""4m Early""},""deviationTime"":{""N"":""1749005160000""},""deviatedDate"":{""S"":""Mon, 04 Jun""},""status"":{""S"":""Arrived""}}",,,'+62 361 9351 011,"{""deviatedTime"":{""S"":""10:22""},""deviationType"":{""S"":""Delay""},""colorCode"":{""S"":""#DC3532""},""deviationText"":{""S"":""22m Delay""},""deviationTime"":{""N"":""1749003720000""},""deviatedDate"":{""S"":""Mon, 04 Jun""},""status"":{""S"":""Departed""}}","{""code"":{""S"":""KOE""},""cityName"":{""S"":""Nuahake""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""TL""},""latitude"":{""N"":""-10.17322""},""name"":{""S"":""Eltari""},""timeZone"":{""S"":""Asia/Dili""},""countryName"":{""S"":""East Timor""},""longitude"":{""N"":""123.65833""}}",945,3000000,50m,270,JT270DPSKOE04062025,,,0,46.67%,"{""code"":{""S"":""DPS""},""cityName"":{""S"":""Bali""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-8.74827""},""name"":{""S"":""Ngurah Rai""},""timeZone"":{""S"":""Asia/Makassar""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""115.165""}}",arrival,,"{""colorCode"":{""S"":""#2B9950""},""code"":{""S"":""S""},""state"":{""S"":""schedule""},""status"":{""S"":""Scheduled""}}",,"{""departureTerminal"":{""S"":""D""},""checkinCounter"":{""S"":""""},""departureGate"":{""S"":""D6""},""baggage"":{""S"":""1""},""arrivalTerminal"":{""S"":""T1""}}","{""scheduledArrivalDate"":{""S"":""Mon, 04 Jun""},""scheduledArrTime"":{""N"":""1749005400000""},""actualArrTime"":{""N"":""1749005160000""},""scheduledDepartureDate"":{""S"":""Mon, 04 Jun""},""actualDepTime"":{""N"":""1749003720000""},""scheduledDepTime"":{""N"":""1749002400000""},""scheduledDepartureTime"":{""S"":""10:00""},""scheduledArrivalTime"":{""S"":""11:50""},""estimatedArrTime"":{""N"":""1749005400000""}}"
271_2025-06-07_KOE_DPS,,B739,JT,Lion Airlines,'+62 21 63798000,'+62 361 9351 011,"{""deviatedTime"":{""S"":""19:02""},""deviationType"":{""S"":""Early""},""colorCode"":{""S"":""#2B9950""},""deviationText"":{""S"":""8m Early""},""deviationTime"":{""N"":""1749294120000""},""deviatedDate"":{""S"":""Wed, 07 Jun""},""colorEnum"":{""S"":""SUCCESS""},""status"":{""S"":""Arrived""}}",,,'+62 380 882031,"{""deviatedTime"":{""S"":""17:43""},""deviationType"":{""S"":""Delay""},""colorCode"":{""S"":""#DC3532""},""deviationText"":{""S"":""18m Delay""},""deviationTime"":{""N"":""1749285780000""},""deviatedDate"":{""S"":""Wed, 07 Jun""},""colorEnum"":{""S"":""CRITICAL""},""status"":{""S"":""Departed""}}","{""code"":{""S"":""DPS""},""cityName"":{""S"":""Bali""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-8.74827""},""name"":{""S"":""Ngurah Rai""},""timeZone"":{""S"":""Asia/Makassar""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""115.165""}}",945,8940000,2h 29m,271,JT271KOEDPS07062025,,,0,53.33%,"{""code"":{""S"":""KOE""},""cityName"":{""S"":""Nuahake""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""TL""},""latitude"":{""N"":""-10.17322""},""name"":{""S"":""Eltari""},""timeZone"":{""S"":""Asia/Dili""},""countryName"":{""S"":""East Timor""},""longitude"":{""N"":""123.65833""}}",arrival,,"{""colorCode"":{""S"":""#2B9950""},""code"":{""S"":""S""},""state"":{""S"":""schedule""},""status"":{""S"":""Scheduled""},""colorCodeEnum"":{""S"":""SUCCESS""}}",,"{""departureTerminal"":{""S"":""T1""},""checkinCounter"":{""S"":""7-10""},""departureGate"":{""S"":""1""},""baggage"":{""S"":""D4""},""arrivalTerminal"":{""S"":""D""}}","{""scheduledArrivalDate"":{""S"":""Wed, 07 Jun""},""scheduledArrTime"":{""N"":""1749294600000""},""actualArrTime"":{""N"":""1749294120000""},""scheduledDepartureDate"":{""S"":""Wed, 07 Jun""},""actualDepTime"":{""N"":""1749285780000""},""scheduledDepTime"":{""N"":""1749284700000""},""estimatedDepTime"":{""N"":""1749284700000""},""scheduledDepartureTime"":{""S"":""17:25""},""scheduledArrivalTime"":{""S"":""19:10""},""estimatedArrTime"":{""N"":""1749294000000""}}"
854_2025-06-01_UPG_PLW,,B739,JT,Lion Airlines,'+62 21 63798000,,"{""deviationType"":{""S"":""OnTime""},""colorCode"":{""S"":""#2B9950""},""deviationText"":{""S"":""On time""},""colorEnum"":{""S"":""SUCCESS""},""status"":{""S"":""Scheduled""}}",,,'+62 411 550123,"{""deviationType"":{""S"":""OnTime""},""colorCode"":{""S"":""#2B9950""},""deviationText"":{""S"":""On time""},""colorEnum"":{""S"":""SUCCESS""},""status"":{""S"":""Scheduled""}}","{""code"":{""S"":""PLW""},""cityName"":{""S"":""Palu""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-0.91600001""},""name"":{""S"":""Mutiara""},""timeZone"":{""S"":""Asia/Makassar""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""119.9""}}",460,4500000,1h 15m,854,JT854UPGPLW01062025,,,0,26.67%,"{""code"":{""S"":""UPG""},""cityName"":{""S"":""Ujung Pandang""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-5.077019""},""name"":{""S"":""Sultan Hasanuddin International Airport""},""timeZone"":{""S"":""Asia/Makassar""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""119.547738""}}",schedule,,"{""colorCode"":{""S"":""#2B9950""},""code"":{""S"":""S""},""state"":{""S"":""schedule""},""status"":{""S"":""Scheduled""},""colorCodeEnum"":{""S"":""SUCCESS""}}",,"{""departureTerminal"":{""S"":""D""},""checkinCounter"":{""S"":""22-31""},""departureGate"":{""S"":""""},""baggage"":{""S"":""""},""arrivalTerminal"":{""S"":""MAIN""}}","{""scheduledDepartureTime"":{""S"":""14:40""},""scheduledArrivalDate"":{""S"":""Fri, 01 Jun""},""scheduledArrTime"":{""N"":""1748764500000""},""scheduledDepartureDate"":{""S"":""Fri, 01 Jun""},""scheduledArrivalTime"":{""S"":""15:55""},""scheduledDepTime"":{""N"":""1748760000000""}}"
844_2025-06-01_DPS_BDJ,,,JT,Lion Airlines,'+62 8041778899,,,,0,,,"{""code"":{""S"":""BDJ""},""cityName"":{""S"":""Banjarmasin""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-3.44244""},""name"":{""S"":""Sjamsudin Noor""},""timeZone"":{""S"":""Asia/Makassar""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""114.75388""}}",,3780000,,844,JT844DPSBDJ01062025,false,false,,,"{""code"":{""S"":""DPS""},""cityName"":{""S"":""Bali""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-8.74827""},""name"":{""S"":""Ngurah Rai""},""timeZone"":{""S"":""Asia/Makassar""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""115.165""}}",arrival,S,,,"{""departureTerminal"":{""S"":""D""},""departureGate"":{""S"":""D4""},""baggage"":{""S"":""3""},""arrivalGate"":{""NULL"":true},""arrivalTerminal"":{""S"":""T1""}}","{""initialScheduledDepTime"":{""NULL"":true},""scheduledArrTime"":{""N"":""1748765400000""},""actualArrTime"":{""N"":""1748764860000""},""actualDepTime"":{""N"":""1748761200000""},""scheduledDepTime"":{""N"":""1748759700000""},""estimatedDepTime"":{""NULL"":true},""estimatedArrTime"":{""N"":""1748764980000""}}"
888_2025-06-09_UPG_AMQ,,B738,JT,Lion Airlines,'+62 8041778899,,"{""deviatedTime"":{""S"":""08:48""},""deviationType"":{""S"":""Early""},""colorCode"":{""S"":""#2B9950""},""deviationText"":{""S"":""12m Early""},""deviationTime"":{""N"":""1749512880000""},""deviatedDate"":{""S"":""Sat, 10 Jun""},""colorEnum"":{""S"":""SUCCESS""},""status"":{""S"":""Arrived""}}",,,'+62 411 550123,"{""deviatedTime"":{""S"":""06:24""},""deviationType"":{""S"":""Delay""},""colorCode"":{""S"":""#DC3532""},""deviationText"":{""S"":""9m Delay""},""deviationTime"":{""N"":""1749507840000""},""deviatedDate"":{""S"":""Sat, 10 Jun""},""colorEnum"":{""S"":""CRITICAL""},""status"":{""S"":""Departed""}}","{""code"":{""S"":""AMQ""},""cityName"":{""S"":""Ambon""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-3.69469168161893""},""name"":{""S"":""Pattimura""},""timeZone"":{""S"":""Asia/Jayapura""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""128.09878284668""}}",956,6300000,1h 45m,888,JT888UPGAMQ09062025,,,0,83.33%,"{""code"":{""S"":""UPG""},""cityName"":{""S"":""Ujung Pandang""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-5.077019""},""name"":{""S"":""Sultan Hasanuddin International Airport""},""timeZone"":{""S"":""Asia/Makassar""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""119.547738""}}",arrival,,"{""colorCode"":{""S"":""#2B9950""},""code"":{""S"":""S""},""state"":{""S"":""schedule""},""status"":{""S"":""Scheduled""},""colorCodeEnum"":{""S"":""SUCCESS""}}",,"{""departureTerminal"":{""S"":""D""},""checkinCounter"":{""S"":""D10-D11""},""departureGate"":{""S"":""5""},""baggage"":{""S"":""1""},""arrivalTerminal"":{""S"":""T1""}}","{""scheduledArrivalDate"":{""S"":""Sat, 10 Jun""},""scheduledArrTime"":{""N"":""1749513600000""},""actualArrTime"":{""N"":""1749512880000""},""scheduledDepartureDate"":{""S"":""Sat, 10 Jun""},""outGateTime"":{""N"":""1749507060000""},""actualDepTime"":{""N"":""1749507840000""},""scheduledDepTime"":{""N"":""1749507300000""},""estimatedDepTime"":{""N"":""1749507840000""},""scheduledDepartureTime"":{""S"":""06:15""},""scheduledArrivalTime"":{""S"":""09:00""},""estimatedArrTime"":{""N"":""1749512970000""}}"
363_2025-06-02_BPN_SUB,,B738,JT,Lion Airlines,'+62 8041778899,'+62 31 2986200,"{""deviatedTime"":{""S"":""06:20""},""deviationType"":{""S"":""Early""},""colorCode"":{""S"":""#2B9950""},""deviationText"":{""S"":""10m Early""},""deviationTime"":{""N"":""1748906400000""},""deviatedDate"":{""S"":""Sat, 03 Jun""},""colorEnum"":{""S"":""SUCCESS""},""status"":{""S"":""Arrived""}}",,,'+62 542 7577000,"{""deviatedTime"":{""S"":""06:11""},""deviationType"":{""S"":""Delay""},""colorCode"":{""S"":""#DC3532""},""deviationText"":{""S"":""11m Delay""},""deviationTime"":{""N"":""1748902260000""},""deviatedDate"":{""S"":""Sat, 03 Jun""},""colorEnum"":{""S"":""CRITICAL""},""status"":{""S"":""Departed""}}","{""code"":{""S"":""SUB""},""cityName"":{""S"":""Surabaya""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-7.21738""},""name"":{""S"":""Juanda""},""timeZone"":{""S"":""Asia/Jakarta""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""112.72016""}}",815,5400000,1h 30m,363,JT363BPNSUB02062025,,,0,96.67%,"{""code"":{""S"":""BPN""},""cityName"":{""S"":""Balikpapan""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-1.26738""},""name"":{""S"":""Sepingan""},""timeZone"":{""S"":""Asia/Makassar""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""116.89272""}}",arrival,,"{""colorCode"":{""S"":""#2B9950""},""code"":{""S"":""S""},""state"":{""S"":""schedule""},""status"":{""S"":""Scheduled""},""colorCodeEnum"":{""S"":""SUCCESS""}}",,"{""departureTerminal"":{""S"":""D""},""checkinCounter"":{""S"":""D10-D13""},""departureGate"":{""S"":""G6""},""baggage"":{""S"":""B2""},""arrivalTerminal"":{""S"":""T1""}}","{""scheduledArrivalDate"":{""S"":""Sat, 03 Jun""},""scheduledArrTime"":{""N"":""1748907000000""},""actualArrTime"":{""N"":""1748906400000""},""scheduledDepartureDate"":{""S"":""Sat, 03 Jun""},""outGateTime"":{""N"":""1748901300000""},""actualDepTime"":{""N"":""1748902260000""},""scheduledDepTime"":{""N"":""1748901600000""},""estimatedDepTime"":{""N"":""1748901600000""},""scheduledDepartureTime"":{""S"":""06:00""},""scheduledArrivalTime"":{""S"":""06:30""},""estimatedArrTime"":{""N"":""1748906580000""}}"
972_2025-06-01_KNO_SUB,,,JT,Lion Airlines,'+62 8041778899,,,,0,,,"{""code"":{""S"":""SUB""},""cityName"":{""S"":""Surabaya""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""-7.21738""},""name"":{""S"":""Juanda""},""timeZone"":{""S"":""Asia/Jakarta""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""112.72016""}}",,,,972,JT972KNOSUB01062025,true,true,,,"{""code"":{""S"":""KNO""},""cityName"":{""S"":""Kuala Namu""},""allAirport"":{""BOOL"":false},""countryCode"":{""S"":""ID""},""latitude"":{""N"":""3.635369""},""name"":{""S"":""Kuala Namu International Airport""},""timeZone"":{""S"":""Asia/Jakarta""},""countryName"":{""S"":""Indonesia""},""longitude"":{""N"":""98.879016""}}",arrival,S,,,"{""departureTerminal"":{""S"":""T1""},""departureGate"":{""S"":""""},""baggage"":{""S"":""2""},""arrivalGate"":{""NULL"":true},""arrivalTerminal"":{""S"":""T1""}}","{""initialScheduledDepTime"":{""NULL"":true},""scheduledArrTime"":{""N"":""1748770500000""},""actualArrTime"":{""N"":""1748772120000""},""actualDepTime"":{""N"":""1748756640000""},""scheduledDepTime"":{""N"":""1748754000000""},""estimatedDepTime"":{""NULL"":true},""estimatedArrTime"":{""N"":""1748772660000""}}"
