route_id,airline_icao,dep_airport_iata,arr_airport_iata,cabin_class,base_price_usd,taxes_usd,total_price_usd,currency,effective_from,effective_to,fare_code
R11231,DAL,LAX,NRT,Economy,1185.66,160.63,1346.29,USD,2025-05-01,2025-08-31,Y257
R10578,VOI,ZCL,TIJ,Economy,190.15,29.09,219.24,USD,2025-05-01,2025-08-31,Y696
R11164,LNI,KNO,PEN,Economy,37.09,5.68,42.77,USD,2025-05-01,2025-08-31,Y384
R10722,VOI,MIA,GDL,Economy,304.49,66.32,370.81,USD,2025-05-01,2025-08-31,Y685
R10561,VOI,MEX,TAP,Business,374.25,62.5,436.75,USD,2025-05-01,2025-08-31,J137
R10629,VOI,BJX,CUN,Business,475.86,63.33,539.19,USD,2025-05-01,2025-08-31,J381
R10899,VOI,CUL,TIJ,Business,461.79,67.48,529.27,USD,2025-05-01,2025-08-31,J178
R11007,LNI,DPS,BDJ,Business,218.1,27.39,245.49,USD,2025-05-01,2025-08-31,J844
R10346,AXM,KCH,KUL,Economy,98.49,15.96,114.45,USD,2025-05-01,2025-08-31,Y216
R10828,VOI,BJX,MDW,Economy,252.22,43.27,295.49,USD,2025-05-01,2025-08-31,Y384
R10999,LNI,MKQ,UPG,Business,587.45,98.88,686.33,USD,2025-05-01,2025-08-31,J135
R10115,AXM,KUL,KNO,Business,192.99,27.76,220.75,USD,2025-05-01,2025-08-31,J262
R10756,VOI,GDL,SJD,Economy,101.83,19.88,121.71,USD,2025-05-01,2025-08-31,Y915
R11114,LNI,PGK,PLM,Economy,36.95,6.85,43.8,USD,2025-05-01,2025-08-31,Y120
R10818,VOI,MLM,IAH,Economy,181.89,27.15,209.04,USD,2025-05-01,2025-08-31,Y686
R10771,VOI,MDW,BJX,Business,677.73,77.23,754.96,USD,2025-05-01,2025-08-31,J263
R10538,VOI,CTM,MEX,Economy,147.65,21.04,168.69,USD,2025-05-01,2025-08-31,Y404
R10892,VOI,NLU,SJD,Economy,130.07,24.82,154.89,USD,2025-05-01,2025-08-31,Y818
R11218,LNI,UPG,YIA,Economy,110.41,14.38,124.79,USD,2025-05-01,2025-08-31,Y988
R10618,VOI,GUA,MEX,Economy,116.49,21.67,138.16,USD,2025-05-01,2025-08-31,Y729
R10875,VOI,HUX,GDL,Business,396.42,66.25,462.67,USD,2025-05-01,2025-08-31,J530
R11194,LNI,CGK,PGK,Economy,58.83,12.41,71.24,USD,2025-05-01,2025-08-31,Y808
R11052,LNI,JED,KNO,Economy,518.72,111.16,629.88,USD,2025-05-01,2025-08-31,Y829
R10844,VOI,MEX,DEN,Economy,297.12,43.8,340.92,USD,2025-05-01,2025-08-31,Y770
R10365,VOI,PDX,GDL,Business,904.56,114.83,1019.39,USD,2025-05-01,2025-08-31,J884
R10044,AXM,PEN,BKI,Economy,166.62,27.3,193.92,USD,2025-05-01,2025-08-31,Y656
R10532,VOI,GDL,OAX,Economy,105.9,19.72,125.62,USD,2025-05-01,2025-08-31,Y638
R11181,LNI,PDG,JED,Business,1353.71,191.9,1545.61,USD,2025-05-01,2025-08-31,J818
R10533,VOI,GDL,OAX,Business,292.68,51.67,344.35,USD,2025-05-01,2025-08-31,J570
R11189,LNI,BKS,CGK,Business,150.73,24.38,175.11,USD,2025-05-01,2025-08-31,J561
R11258,EVA,TPE,LAX,Economy,1651.57,212.48,1864.05,USD,2025-05-01,2025-08-31,Y883
R10820,VOI,TIJ,LMM,Economy,154.0,20.57,174.57,USD,2025-05-01,2025-08-31,Y868
R10881,VOI,MLM,MTY,Business,274.9,36.63,311.53,USD,2025-05-01,2025-08-31,J818
R10398,VOI,TLC,SJD,Economy,149.46,18.18,167.64,USD,2025-05-01,2025-08-31,Y627
R10101,AXM,KBR,KUL,Business,159.18,18.78,177.96,USD,2025-05-01,2025-08-31,J303
R10513,VOI,GDL,TRC,Business,216.76,32.31,249.07,USD,2025-05-01,2025-08-31,J266
R10244,AXM,KUL,MFM,Economy,284.2,60.05,344.25,USD,2025-05-01,2025-08-31,Y572
R10667,VOI,GDL,CUN,Business,469.9,80.42,550.32,USD,2025-05-01,2025-08-31,J757
R10602,VOI,TIJ,GDL,Economy,186.59,28.82,215.41,USD,2025-05-01,2025-08-31,Y165
R10394,VOI,MEX,LAS,Economy,279.18,45.32,324.5,USD,2025-05-01,2025-08-31,Y894
R10962,LNI,DJJ,BIK,Economy,53.27,10.08,63.35,USD,2025-05-01,2025-08-31,Y458
R10076,AXM,YIA,KUL,Economy,146.76,27.03,173.79,USD,2025-05-01,2025-08-31,Y509
R10296,AXM,KUL,CCU,Economy,276.19,56.14,332.33,USD,2025-05-01,2025-08-31,Y393
R10997,LNI,SUB,PNK,Business,280.78,49.11,329.89,USD,2025-05-01,2025-08-31,J686
R10715,VOI,MTY,CUL,Business,289.26,46.54,335.8,USD,2025-05-01,2025-08-31,J204
R10220,AXM,KUL,HYD,Economy,282.22,50.74,332.96,USD,2025-05-01,2025-08-31,Y542
R10065,AXM,KUL,SIN,Business,164.8,19.6,184.4,USD,2025-05-01,2025-08-31,J266
R11225,DAL,SEA,DFW,Economy,417.47,79.51,496.98,USD,2025-05-01,2025-08-31,Y763
R11295,VOI,LAS,GDL,First,1535.33,214.95,1750.28,USD,2025-05-01,2025-08-31,F662
R11054,LNI,PNK,BTH,Economy,73.67,15.11,88.78,USD,2025-05-01,2025-08-31,Y570
R10558,VOI,MID,NLU,Economy,111.76,22.0,133.76,USD,2025-05-01,2025-08-31,Y767
R10425,VOI,ONT,GDL,Business,685.56,108.43,793.99,USD,2025-05-01,2025-08-31,J180
R11283,LNI,PGK,CGK,Economy,51.35,7.18,58.53,USD,2025-09-01,2025-12-31,Y916
R10812,VOI,TIJ,BJX,Economy,251.44,35.45,286.89,USD,2025-05-01,2025-08-31,Y855
R10622,VOI,GDL,NLU,Economy,89.22,12.89,102.11,USD,2025-05-01,2025-08-31,Y145
R10432,VOI,LAX,MEX,Economy,256.32,55.88,312.2,USD,2025-05-01,2025-08-31,Y158
R11033,LNI,DJB,CGK,Business,151.14,21.24,172.38,USD,2025-05-01,2025-08-31,J238
R10023,AXM,KOS,KUL,Business,253.12,41.19,294.31,USD,2025-05-01,2025-08-31,J565
R10063,AXM,KNO,PEN,Business,122.29,17.71,140.0,USD,2025-05-01,2025-08-31,J995
R11275,VOI,LAS,MEX,Economy,306.7,64.92,371.62,USD,2025-09-01,2025-12-31,Y417
R10668,VOI,CUN,MEX,Economy,183.06,31.56,214.62,USD,2025-05-01,2025-08-31,Y959
R10051,AXM,PEN,SGN,Business,276.19,42.81,319.0,USD,2025-05-01,2025-08-31,J973
R11068,LNI,BDJ,DPS,Economy,72.89,11.7,84.59,USD,2025-05-01,2025-08-31,Y854
R10043,AXM,KUL,SRG,Business,478.43,81.5,559.93,USD,2025-05-01,2025-08-31,J478
R10479,VOI,OAK,GDL,Business,795.14,136.06,931.2,USD,2025-05-01,2025-08-31,J658
R10938,LNI,KDI,UPG,Economy,38.97,6.54,45.51,USD,2025-05-01,2025-08-31,Y439
R10739,VOI,CUN,OAX,Business,403.29,52.11,455.4,USD,2025-05-01,2025-08-31,J677
R10585,VOI,ORD,MLM,Business,907.05,160.17,1067.22,USD,2025-05-01,2025-08-31,J589
R11036,LNI,CGK,BPN,Economy,100.81,12.68,113.49,USD,2025-05-01,2025-08-31,Y133
R10554,VOI,GDL,TQO,Economy,47.31,10.24,57.55,USD,2025-05-01,2025-08-31,Y261
R10644,VOI,SAT,MEX,Economy,148.86,18.45,167.31,USD,2025-05-01,2025-08-31,Y174
R10631,VOI,IAH,MEX,Business,415.08,62.29,477.37,USD,2025-05-01,2025-08-31,J537
R10078,AXM,BKI,KCH,Economy,111.7,14.69,126.39,USD,2025-05-01,2025-08-31,Y367
R10847,VOI,SLP,IAH,Business,446.36,70.56,516.92,USD,2025-05-01,2025-08-31,J873
R10374,VOI,TGZ,MEX,Economy,99.97,21.46,121.43,USD,2025-05-01,2025-08-31,Y551
R10261,AXM,KCH,BKI,Business,284.1,46.85,330.95,USD,2025-05-01,2025-08-31,J495
R10361,VOI,MID,GDL,Business,511.67,71.07,582.74,USD,2025-05-01,2025-08-31,J331
R10701,VOI,TLC,MTY,Business,317.48,50.94,368.42,USD,2025-05-01,2025-08-31,J243
R11093,LNI,KDI,SUB,Business,316.93,51.05,367.98,USD,2025-05-01,2025-08-31,J190
R10239,AXM,NGB,BKI,Business,734.82,81.18,816.0,USD,2025-05-01,2025-08-31,J394
R10243,AXM,KUL,AOR,Business,146.46,19.43,165.89,USD,2025-05-01,2025-08-31,J330
R10626,VOI,LAP,TIJ,Economy,165.33,29.36,194.69,USD,2025-05-01,2025-08-31,Y691
R10350,VOI,OAK,MEX,Economy,350.91,65.15,416.06,USD,2025-05-01,2025-08-31,Y717
R11161,LNI,BDJ,SUB,Business,160.24,24.27,184.51,USD,2025-05-01,2025-08-31,J260
R10254,AXM,TWU,BKI,Economy,50.1,8.95,59.05,USD,2025-05-01,2025-08-31,Y775
R10032,AXM,KUL,KBR,Economy,53.07,10.94,64.01,USD,2025-05-01,2025-08-31,Y513
R10312,AXM,BKI,KUL,Economy,194.63,39.02,233.65,USD,2025-05-01,2025-08-31,Y474
R10727,VOI,PBC,CUN,Business,410.3,72.02,482.32,USD,2025-05-01,2025-08-31,J838
R10184,AXM,CGK,PEN,Economy,144.65,28.1,172.75,USD,2025-05-01,2025-08-31,Y880
R10081,AXM,BKI,MYY,Business,136.86,17.12,153.98,USD,2025-05-01,2025-08-31,J720
R10506,VOI,DGO,GDL,Economy,78.74,10.46,89.2,USD,2025-05-01,2025-08-31,Y199
R10282,AXM,SIN,PEN,Economy,71.79,12.99,84.78,USD,2025-05-01,2025-08-31,Y491
R10308,AXM,KUL,TWU,Economy,214.66,32.09,246.75,USD,2025-05-01,2025-08-31,Y991
R11206,LNI,DJJ,UPG,Economy,166.18,31.75,197.93,USD,2025-05-01,2025-08-31,Y282
R10390,VOI,TIJ,UPN,Economy,234.4,47.61,282.01,USD,2025-05-01,2025-08-31,Y877
R10231,AXM,SBW,BKI,Business,210.54,25.91,236.45,USD,2025-05-01,2025-08-31,J510
R10731,VOI,TIJ,CJS,Business,417.54,70.55,488.09,USD,2025-05-01,2025-08-31,J550
R10846,VOI,SLP,IAH,Economy,151.93,20.75,172.68,USD,2025-05-01,2025-08-31,Y505
R10864,VOI,MLM,MDW,Economy,288.53,62.42,350.95,USD,2025-05-01,2025-08-31,Y422
R10590,VOI,MDW,ZCL,Economy,286.94,57.03,343.97,USD,2025-05-01,2025-08-31,Y638
R10759,VOI,CUN,PBC,Business,404.42,59.05,463.47,USD,2025-05-01,2025-08-31,J556
R11255,EVA,SEA,DFW,Economy,423.12,51.02,474.14,USD,2025-05-01,2025-08-31,Y837
R10788,VOI,PVR,BJX,Economy,64.34,10.12,74.46,USD,2025-05-01,2025-08-31,Y244
R10858,VOI,TIJ,ZIH,Economy,225.26,38.98,264.24,USD,2025-05-01,2025-08-31,Y108
R11192,LNI,KNO,BTH,Economy,73.43,12.87,86.3,USD,2025-05-01,2025-08-31,Y543
R10832,VOI,TQO,GDL,Economy,57.65,9.56,67.21,USD,2025-05-01,2025-08-31,Y780
R10724,VOI,IAH,SLP,Economy,118.53,17.79,136.32,USD,2025-05-01,2025-08-31,Y604
R10983,LNI,SUB,PLM,Business,279.49,41.93,321.42,USD,2025-05-01,2025-08-31,J591
R11261,EVA,LAX,NRT,Economy,1521.8,227.51,1749.31,USD,2025-05-01,2025-08-31,Y749
R10536,VOI,TGZ,GDL,Economy,155.27,29.4,184.67,USD,2025-05-01,2025-08-31,Y724
R10218,AXM,BKI,CAN,Economy,195.78,29.45,225.23,USD,2025-05-01,2025-08-31,Y512
R11157,LNI,LUV,AMQ,Business,207.89,22.37,230.26,USD,2025-05-01,2025-08-31,J777
R10573,VOI,DEN,CUU,Business,465.73,70.37,536.1,USD,2025-05-01,2025-08-31,J515
R11081,LNI,SUB,DPS,Business,130.12,17.91,148.03,USD,2025-05-01,2025-08-31,J987
R10058,AXM,SBW,KCH,Economy,51.82,9.05,60.87,USD,2025-05-01,2025-08-31,Y954
R11108,LNI,BPN,YIA,Economy,94.4,13.48,107.88,USD,2025-05-01,2025-08-31,Y844
R10198,AXM,PER,KUL,Economy,341.63,60.22,401.85,USD,2025-05-01,2025-08-31,Y411
R11163,LNI,YIA,UPG,Business,311.98,33.07,345.05,USD,2025-05-01,2025-08-31,J603
R10464,VOI,AGU,MDW,Economy,292.47,52.29,344.76,USD,2025-05-01,2025-08-31,Y886
